Location,Room,Day,Time Start,Time End,Sound,Type,Capacity
Alvin,518,4,17:30,18:45,1,C,20
Alvin,517,3,9:00,11:40,2,C,45
Alvin,106,4,16:00,17:15,3,"B, C",35
Alvin,601,3,9:00,11:40,1,C,15
Arnhold,202,6,9:00,11:40,2,"B, C",20
Arnhold,930,6,10:00,11:40,3,C,45
Arnhold,930,2,10:00,11:40,1,B,30
Arnhold,450,6,10:00,11:40,2,"A, C",40
UC,100,3,12:20,13:35,3,C,20
UC,617,"4, 6",9:00,11:40,1,C,60
UC,617,"3, 6",16:00,18:40,2,C,15
UC,205,6,4:00,18:40,3,C,25
AlbertVera,600,4,19:00,21:40,1,B,30
AlbertVera,912,2,12:10,14:50,2,C,50
AlbertVera,908,6,12:10,14:50,3,"A, C",20
AlbertVera,908,"2, 5",9:00,11:40,1,,25
Sheila,502,4,12:10,14:50,2,C,35
Sheila,501,4,9:00,11:40,3,"A, C",20
Sheila,501,2,16:00,18:40,1,C,24
Sheila,501,3,16:00,18:40,2,C,45
